priority_id,rank,priority_class,risk_level,cell_id,operational_risk_index,forecast_operational_risk_index_24h,forecast_operational_risk_index_48h,forecast_operational_risk_index_72h,location,exposure,road_entity_count,settlement_count,verified_report_ids,report_priority_boost,reason,recommended_action,latitude,longitude
P2-078,88,P2,HIGH,SKM_06442,70.1,68.2,67.5,62.6,NH510 / SH / Unnamed OSM road,18 OSM road entities,18,0,[],False,Current Operational Risk Index 70.1/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.245667,88.469622
P2-079,89,P2,HIGH,SKM_07146,70.1,71.0,69.2,64.6,NH710 / ODR / Unnamed OSM road,15 OSM road entities,15,0,[],False,Current Operational Risk Index 70.1/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.156628,88.347359
P2-080,90,P2,HIGH,SKM_06285,70.0,67.9,67.2,62.3,NH10 / Unnamed OSM road,4 OSM road entities,4,0,[],False,Current Operational Risk Index 70.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.262846,88.550653
P2-081,91,P2,HIGH,SKM_07295,70.0,71.3,69.2,64.6,Unnamed OSM road,12 OSM road entities,12,0,[],False,Current Operational Risk Index 70.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.129158,88.387385
P2-082,92,P2,HIGH,SKM_07189,69.9,70.8,69.2,64.5,SH / Unnamed OSM road,10 OSM road entities,10,0,[],False,Current Operational Risk Index 69.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.148263,88.276623
P2-083,93,P2,HIGH,SKM_05960,69.8,68.5,68.3,63.3,Gipmochi Highway / Unnamed OSM road,10 OSM road entities,10,0,[],False,Current Operational Risk Index 69.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.295653,88.823893
P2-084,94,P2,HIGH,SKM_02483,69.6,71.0,71.9,66.6,Chatten,5 OSM road entities; 1 mapped settlement,5,1,[],False,Current Operational Risk Index 69.6/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.714077,88.556988
P2-085,95,P2,HIGH,SKM_03263,69.6,68.7,68.9,64.5,NH310AG · North Sikkim Highway / Unnamed OSM road,3 OSM road entities,3,0,[],False,Current Operational Risk Index 69.6/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.613996,88.626498
P2-086,96,P2,HIGH,SKM_06114,69.6,67.1,66.5,61.5,NH 717A / Unnamed OSM road,8 OSM road entities,8,0,[],False,Current Operational Risk Index 69.6/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.280326,88.601406
P2-087,97,P2,HIGH,SKM_06355,69.6,68.6,67.6,62.9,SH / Unnamed OSM road,9 OSM road entities,9,0,[],False,Current Operational Risk Index 69.6/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.255417,88.399049
P2-088,98,P2,HIGH,SKM_06369,69.6,67.6,66.9,62.0,NH10 / Unnamed OSM road,7 OSM road entities,7,0,[],False,Current Operational Risk Index 69.6/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.253932,88.54043
P2-089,99,P2,HIGH,SKM_07156,69.6,70.8,68.6,64.0,MDR / Unnamed OSM road,9 OSM road entities,9,0,[],False,Current Operational Risk Index 69.6/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.155623,88.44826
P2-090,100,P2,HIGH,SKM_06286,69.5,67.4,66.7,61.7,NH10 / Unnamed OSM road,9 OSM road entities,9,0,[],False,Current Operational Risk Index 69.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.262733,88.560752
P2-091,101,P2,HIGH,SKM_06743,69.5,70.3,68.4,64.1,SH / Unnamed OSM road,8 OSM road entities,8,0,[],False,Current Operational Risk Index 69.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.210976,88.327819
P2-092,102,P2,HIGH,SKM_06185,69.4,67.3,66.7,61.8,MDR / Unnamed OSM road,24 OSM road entities,24,0,[],False,Current Operational Risk Index 69.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.273162,88.429577
P2-093,103,P2,HIGH,SKM_07152,69.4,70.5,68.4,63.8,MDR / Unnamed OSM road,10 OSM road entities,10,0,[],False,Current Operational Risk Index 69.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.156034,88.4079
P2-094,104,P2,HIGH,SKM_07316,69.3,70.3,68.8,63.9,Unnamed OSM road,3 OSM road entities,3,0,[],False,Current Operational Risk Index 69.3/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.121545,88.235965
P2-095,105,P2,HIGH,SKM_03192,69.2,68.5,68.6,64.3,NH310AG · North Sikkim Highway / Unnamed OSM road,3 OSM road entities,3,0,[],False,Current Operational Risk Index 69.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.623138,88.6165
P2-096,106,P2,HIGH,SKM_05264,69.2,66.5,66.6,61.4,NH310,1 OSM road entity,1,0,[],False,Current Operational Risk Index 69.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.369621,88.683569
P2-097,107,P2,HIGH,SKM_05665,69.2,66.6,66.2,61.3,SH / Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 69.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.32668,88.490902
P2-098,108,P2,HIGH,SKM_07081,69.1,70.6,68.6,64.0,Unnamed OSM road,19 OSM road entities,19,0,[],False,Current Operational Risk Index 69.1/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.166587,88.246554
P2-099,109,P2,HIGH,SKM_05745,69.0,66.8,66.2,61.3,Unnamed OSM road,19 OSM road entities,19,0,[],False,Current Operational Risk Index 69.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.318392,88.420051
P2-100,110,P2,HIGH,SKM_04926,68.9,64.1,64.1,59.4,Phidang Check-post / SH / Unnamed OSM road,8 OSM road entities,8,0,[],False,Current Operational Risk Index 68.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.407688,88.512216
P2-101,111,P2,HIGH,SKM_05506,68.9,65.5,65.5,60.5,NH10 / NH310 · Lower Burtuk Road / Unnamed OSM road,45 OSM road entities,45,0,[],False,Current Operational Risk Index 68.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.343499,88.602314
P2-102,112,P2,HIGH,SKM_06245,68.9,70.3,67.7,64.1,Unnamed OSM road,10 OSM road entities,10,0,[],False,Current Operational Risk Index 68.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.266739,88.146651
P2-103,113,P2,HIGH,SKM_05191,68.8,67.2,67.1,62.2,Theagu,1 OSM road entity; 1 mapped settlement,1,1,[],False,Current Operational Risk Index 68.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.377388,88.784791
P2-104,114,P2,HIGH,SKM_05508,68.8,65.4,65.4,60.3,NH310 / Unnamed OSM road,20 OSM road entities,20,0,[],False,Current Operational Risk Index 68.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.343266,88.622526
P2-105,115,P2,HIGH,SKM_03481,68.6,67.4,68.0,63.3,NH310A · North Sikkim Highway / Unnamed OSM road,9 OSM road entities,9,0,[],False,Current Operational Risk Index 68.6/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.586564,88.656482
P2-106,116,P2,HIGH,SKM_05594,68.6,65.3,65.2,60.0,SH2 · Gangtok - Assam - Pakyong Road / Unnamed OSM road,10 OSM road entities,10,0,[],False,Current Operational Risk Index 68.6/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.333886,88.652709
P2-107,117,P2,HIGH,SKM_06777,68.6,66.3,65.5,60.6,SH / Unnamed OSM road,5 OSM road entities,5,0,[],False,Current Operational Risk Index 68.6/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.207304,88.671028
P2-108,118,P2,HIGH,SKM_05424,68.5,65.1,65.2,60.1,Burtuk / NH310 · Lower Burtuk Road / Unnamed OSM road,15 OSM road entities,15,0,[],False,Current Operational Risk Index 68.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.352407,88.61255
P2-109,119,P2,HIGH,SKM_05471,68.5,70.0,68.1,64.2,Unnamed OSM road,10 OSM road entities,10,0,[],False,Current Operational Risk Index 68.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.34711,88.248568
P2-110,120,P2,HIGH,SKM_06626,68.5,66.0,65.9,60.8,NH 717B · Jelep Pass Highway / Unnamed OSM road,5 OSM road entities,5,0,[],False,Current Operational Risk Index 68.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.224617,88.731866
P2-111,121,P2,HIGH,SKM_06754,68.4,67.9,66.6,61.8,Unnamed OSM road,9 OSM road entities,9,0,[],False,Current Operational Risk Index 68.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.20988,88.438864
P2-112,122,P2,HIGH,SKM_04861,68.3,65.1,65.7,60.5,NH310A · North Sikkim Highway,1 OSM road entity,1,0,[],False,Current Operational Risk Index 68.3/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.415461,88.623579
P2-113,123,P2,HIGH,SKM_06591,68.3,68.2,66.7,62.2,NH510 / Unnamed OSM road,8 OSM road entities,8,0,[],False,Current Operational Risk Index 68.3/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.22854,88.378517
P2-114,124,P2,HIGH,SKM_06912,68.3,67.2,65.9,61.2,Unnamed OSM road,1 OSM road entity,1,0,[],False,Current Operational Risk Index 68.3/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.190534,88.559746
P2-115,125,P2,HIGH,SKM_07245,68.3,69.4,67.5,62.9,NH710 / Unnamed OSM road,8 OSM road entities,8,0,[],False,Current Operational Risk Index 68.3/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.138577,88.347142
P2-116,126,P2,HIGH,SKM_06384,68.2,65.0,64.7,59.5,Unnamed OSM road,6 OSM road entities,6,0,[],False,Current Operational Risk Index 68.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.252183,88.691897
P2-117,127,P2,HIGH,SKM_07139,68.2,69.2,67.5,62.9,Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 68.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.157289,88.276726
P2-118,128,P2,HIGH,SKM_07315,68.1,69.2,67.7,62.8,Unnamed OSM road,9 OSM road entities,9,0,[],False,Current Operational Risk Index 68.1/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.121634,88.225878
P2-119,129,P2,HIGH,SKM_03123,68.0,67.4,67.5,63.2,NH310AG · North Sikkim Highway / Unnamed OSM road,5 OSM road entities,5,0,[],False,Current Operational Risk Index 68.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.632162,88.616632
P2-120,130,P2,HIGH,SKM_05015,68.0,64.8,65.1,60.0,NH310A · North Sikkim Highway / Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 68.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.397412,88.623316
P2-121,131,P2,HIGH,SKM_07154,68.0,69.1,67.0,62.5,MDR / Unnamed OSM road,4 OSM road entities,4,0,[],False,Current Operational Risk Index 68.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.15583,88.42808
P2-122,132,P2,HIGH,SKM_07163,68.0,68.3,66.4,61.8,Unnamed OSM road,4 OSM road entities,4,0,[],False,Current Operational Risk Index 68.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.154876,88.518887
P2-123,133,P2,HIGH,SKM_06779,67.9,65.4,64.8,59.9,SH / Unnamed OSM road,6 OSM road entities,6,0,[],False,Current Operational Risk Index 67.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.207061,88.691215
P2-124,134,P2,HIGH,SKM_05390,67.8,68.6,67.2,62.9,Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 67.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.355953,88.268887
P2-125,135,P2,HIGH,SKM_06370,67.8,65.8,65.1,60.1,NH10 / Unnamed OSM road,3 OSM road entities,3,0,[],False,Current Operational Risk Index 67.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.253821,88.550528
P2-126,136,P2,HIGH,SKM_07141,67.8,68.8,67.1,62.5,Unnamed OSM road,16 OSM road entities,16,0,[],False,Current Operational Risk Index 67.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.157104,88.296907
P2-127,137,P2,HIGH,SKM_06889,67.7,68.5,66.7,62.3,SH / Unnamed OSM road,10 OSM road entities,10,0,[],False,Current Operational Risk Index 67.7/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.192924,88.327605
P2-128,138,P2,HIGH,SKM_07098,67.7,68.6,66.6,62.0,MDR / Unnamed OSM road,15 OSM road entities,15,0,[],False,Current Operational Risk Index 67.7/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.164958,88.418104
P2-129,139,P2,HIGH,SKM_05263,67.5,64.3,64.5,59.3,NH310 / Unnamed OSM road,3 OSM road entities,3,0,[],False,Current Operational Risk Index 67.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.369742,88.673461
P2-130,140,P2,HIGH,SKM_05362,67.5,66.3,65.8,61.1,NH 717B / Unnamed OSM road,3 OSM road entities,3,0,[],False,Current Operational Risk Index 67.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.358686,88.835033
P2-131,141,P2,HIGH,SKM_07073,67.5,68.9,66.5,62.3,Unnamed OSM road,13 OSM road entities,13,0,[],False,Current Operational Risk Index 67.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.167282,88.165819
P2-132,142,P2,HIGH,SKM_07078,67.5,68.8,66.8,62.4,Unnamed OSM road,5 OSM road entities,5,0,[],False,Current Operational Risk Index 67.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.166853,88.216278
P2-133,143,P2,HIGH,SKM_07096,67.5,68.4,66.5,61.9,MDR / Unnamed OSM road,21 OSM road entities,21,0,[],False,Current Operational Risk Index 67.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.165161,88.397922
P2-134,144,P2,HIGH,SKM_07205,67.5,68.8,66.6,62.0,MDR / Unnamed OSM road,9 OSM road entities,9,0,[],False,Current Operational Risk Index 67.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.146701,88.438054
P2-135,145,P2,HIGH,SKM_07380,67.5,69.3,66.8,62.3,NH710,1 OSM road entity,1,0,[],False,Current Operational Risk Index 67.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.092854,88.407109
P2-136,146,P2,HIGH,SKM_05094,67.4,64.1,64.5,59.3,NH310A · North Sikkim Highway / Unnamed OSM road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 67.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.38827,88.633294
P2-137,147,P2,HIGH,SKM_05190,67.3,65.6,65.5,60.6,Changgu,5 OSM road entities; 1 mapped settlement,5,1,[],False,Current Operational Risk Index 67.3/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.377517,88.774683
P2-138,148,P2,HIGH,SKM_05279,67.3,66.2,65.7,61.0,NH 717B / Unnamed OSM road,4 OSM road entities,4,0,[],False,Current Operational Risk Index 67.3/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.367709,88.835182
P2-139,149,P2,HIGH,SKM_03892,67.2,60.4,60.5,56.2,MDR / Unnamed OSM road,10 OSM road entities,10,0,[],False,Current Operational Risk Index 67.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.534254,88.493694
P2-140,150,P2,HIGH,SKM_05257,67.2,63.8,63.9,58.8,NH310 / NH310A · North Sikkim Highway / SH7 · Penlong - Samdong Road,16 OSM road entities,16,0,[],False,Current Operational Risk Index 67.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.370456,88.612812
P2-141,151,P2,HIGH,SKM_05638,67.2,68.9,66.6,62.9,MDR / Unnamed OSM road,4 OSM road entities,4,0,[],False,Current Operational Risk Index 67.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.329325,88.218047
P2-142,152,P2,HIGH,SKM_06376,67.2,64.8,64.1,59.2,NH 717A / SH2 · Gangtok - Assam - Pakyong Road,2 OSM road entities,2,0,[],False,Current Operational Risk Index 67.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.253136,88.611116
P2-143,153,P2,HIGH,SKM_06769,67.1,65.5,64.5,59.7,Unnamed OSM road,4 OSM road entities,4,0,[],False,Current Operational Risk Index 67.1/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.208243,88.590279
P2-144,154,P2,HIGH,SKM_07097,67.1,67.9,65.9,61.4,MDR / Unnamed OSM road,15 OSM road entities,15,0,[],False,Current Operational Risk Index 67.1/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.16506,88.408013
P2-145,155,P2,HIGH,SKM_07107,67.1,67.3,65.5,60.8,Unnamed OSM road,9 OSM road entities,9,0,[],False,Current Operational Risk Index 67.1/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.164011,88.508919
P2-146,156,P2,HIGH,SKM_07311,67.1,68.6,66.3,61.8,Unnamed OSM road,12 OSM road entities,12,0,[],False,Current Operational Risk Index 67.1/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.122232,88.155263
P2-147,157,P2,HIGH,SKM_06221,67.0,65.0,64.9,59.7,NH 717B · Jelep Pass Highway / Unnamed OSM road,3 OSM road entities,3,0,[],False,Current Operational Risk Index 67.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.268974,88.793156
P2-148,158,P2,HIGH,SKM_06385,66.8,63.7,63.4,58.2,Unnamed OSM road,4 OSM road entities,4,0,[],False,Current Operational Risk Index 66.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.252061,88.701994
P2-149,159,P2,HIGH,SKM_06522,66.8,65.0,64.2,59.3,Unnamed OSM road,12 OSM road entities,12,0,[],False,Current Operational Risk Index 66.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.236535,88.479601
P2-150,160,P2,HIGH,SKM_07102,66.8,67.5,65.5,60.9,Unnamed OSM road,7 OSM road entities,7,0,[],False,Current Operational Risk Index 66.8/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.164544,88.458467
P2-151,161,P2,HIGH,SKM_06653,66.7,68.3,65.8,62.1,Unnamed OSM road,25 OSM road entities,25,0,[],False,Current Operational Risk Index 66.7/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.221098,88.20677
P2-152,162,P2,HIGH,SKM_07121,66.7,68.6,65.5,61.3,Unnamed OSM road,6 OSM road entities,6,0,[],False,Current Operational Risk Index 66.7/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.158824,88.095086
P2-153,163,P2,HIGH,SKM_07301,66.7,68.4,65.9,61.4,MDR / Unnamed OSM road,7 OSM road entities,7,0,[],False,Current Operational Risk Index 66.7/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.128547,88.447911
P2-154,164,P2,HIGH,SKM_07149,66.6,67.5,65.6,61.1,MDR / Unnamed OSM road,10 OSM road entities,10,0,[],False,Current Operational Risk Index 66.6/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.156334,88.37763
P2-155,165,P2,HIGH,SKM_06524,66.5,64.6,63.9,59.0,Singtam,2 OSM road entities; 1 mapped settlement,2,1,[],False,Current Operational Risk Index 66.5/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.236321,88.499794
P2-156,166,P2,HIGH,SKM_03624,66.4,64.9,65.9,60.9,NH310A · North Sikkim Highway / Unnamed OSM road,3 OSM road entities,3,0,[],False,Current Operational Risk Index 66.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.568516,88.656211
P2-157,167,P2,HIGH,SKM_05242,66.4,63.0,62.5,57.8,Unnamed OSM road,17 OSM road entities,17,0,[],False,Current Operational Risk Index 66.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.372126,88.461179
P2-158,168,P2,HIGH,SKM_07034,66.4,67.1,65.3,60.8,NH710 / Unnamed OSM road,12 OSM road entities,12,0,[],False,Current Operational Risk Index 66.4/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.174485,88.36776
P2-159,169,P2,HIGH,SKM_06968,66.3,66.8,65.0,60.5,Unnamed OSM road,9 OSM road entities,9,0,[],False,Current Operational Risk Index 66.3/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.183212,88.398147
P2-160,170,P2,HIGH,SKM_06848,66.2,64.2,63.3,58.5,SH / Unnamed OSM road,4 OSM road entities,4,0,[],False,Current Operational Risk Index 66.2/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.198637,88.640615
P2-161,171,P2,HIGH,SKM_06181,66.0,65.1,64.0,59.3,Unnamed OSM road,12 OSM road entities,12,0,[],False,Current Operational Risk Index 66.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.273569,88.389175
P2-162,172,P2,HIGH,SKM_07046,66.0,66.0,64.3,59.6,Unnamed OSM road,7 OSM road entities,7,0,[],False,Current Operational Risk Index 66.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.173251,88.488858
P2-163,173,P2,HIGH,SKM_07093,66.0,66.8,65.0,60.4,Namchi,41 OSM road entities; 1 mapped settlement,41,1,[],False,Current Operational Risk Index 66.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.165459,88.36765
P2-164,174,P2,HIGH,SKM_07180,66.0,67.3,65.3,60.8,Unnamed OSM road,5 OSM road entities,5,0,[],False,Current Operational Risk Index 66.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.149059,88.185812
P2-165,175,P2,HIGH,SKM_07290,66.0,67.0,65.2,60.5,NH710 / Unnamed OSM road,7 OSM road entities,7,0,[],False,Current Operational Risk Index 66.0/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.129647,88.336946
P2-166,176,P2,HIGH,SKM_05473,65.9,67.3,65.5,61.4,Unnamed OSM road,3 OSM road entities,3,0,[],False,Current Operational Risk Index 65.9/100 (HIGH). Exact GIS overlay identifies mapped road and/or settlement exposure.,Prioritize monitoring and local verification of the mapped exposed assets.,27.346927,88.268784
